,Test,Total,Average
0,Mean,0.0026326179504394,0.0008775393168131
1,Sort,0.0140812397003173,0.0046937465667724
2,Merge,0.021024465560913,0.007008155186971
3,Filter,0.0106935501098632,0.0035645167032877
4,All,0.0475907325744628,0.0158635775248209
5,Mean,0.0022144317626953,0.0007381439208984
6,Sort,0.0141561031341552,0.0047187010447184
7,Merge,0.0228919982910156,0.0076306660970052
8,Filter,0.0103225708007812,0.0034408569335937
9,All,0.0496001243591308,0.0165333747863769
10,Mean,0.002263069152832,0.0007543563842773
11,Sort,0.0144460201263427,0.0048153400421142
12,Merge,0.0294530391693115,0.0098176797231038
13,Filter,0.0103790760040283,0.0034596920013427
14,All,0.0579307079315185,0.0193102359771728
15,Mean,0.0022079944610595,0.0007359981536865
16,Sort,0.0163743495941162,0.005458116531372
17,Merge,0.0428621768951416,0.0142873922983805
18,Filter,0.011305809020996,0.0037686030069986
19,All,0.074845552444458,0.024948517481486
20,Mean,0.0022358894348144,0.0007452964782714
21,Sort,0.0208947658538818,0.0069649219512939
22,Merge,0.0655961036682128,0.0218653678894042
23,Filter,0.0144820213317871,0.004827340443929
24,All,0.1058781147003173,0.0352927049001058
25,Mean,0.0022714138031005,0.0007571379343668
26,Sort,0.0299196243286132,0.0099732081095377
27,Merge,0.1021220684051513,0.0340406894683837
28,Filter,0.0260689258575439,0.0086896419525146
29,All,0.1552374362945556,0.0517458120981852
30,Mean,0.0031502246856689,0.0010500748952229
31,Sort,0.0470497608184814,0.0156832536061604
32,Merge,0.1318798065185547,0.0439599355061849
33,Filter,0.0252919197082519,0.0084306399027506
34,All,0.1762199401855468,0.0587399800618489
35,Mean,0.0031135082244873,0.0010378360748291
36,Sort,0.0524699687957763,0.0174899895985921
37,Merge,0.1686241626739502,0.05620805422465
38,Filter,0.025796890258789,0.0085989634195963
39,All,0.2504220008850097,0.0834740002950032
40,Mean,0.0032911300659179,0.0010970433553059
41,Sort,0.0785861015319824,0.0261953671773274
42,Merge,0.282120943069458,0.094040314356486
43,Filter,0.0284023284912109,0.0094674428304036
44,All,0.3946096897125244,0.1315365632375081
45,Mean,0.0039398670196533,0.0013132890065511
46,Sort,0.1443753242492675,0.0481251080830891
47,Merge,0.4174239635467529,0.1391413211822509
48,Filter,0.0340275764465332,0.0113425254821777
49,All,0.6042454242706299,0.2014151414235433
50,Mean,0.0053796768188476,0.0017932256062825
51,Sort,0.2843475341796875,0.0947825113932291
52,Merge,0.613440752029419,0.204480250676473
53,Filter,0.0502314567565918,0.0167438189188639
54,All,0.980121612548828,0.3267072041829427
55,Mean,0.0112314224243164,0.0037438074747721
56,Sort,0.5579879283905029,0.1859959761301676
57,Merge,1.0722107887268066,0.3574035962422688
58,Filter,0.1152615547180175,0.0384205182393391
59,All,1.77048659324646,0.59016219774882
